Date,Open,High,Low,Close,Adj Close,Volume
2021-03-31,18.000000,18.948000,16.059999,16.549999,16.549999,2110800
2021-04-01,16.299999,17.344000,15.060000,16.000000,16.000000,506500
2021-04-05,15.630000,15.950000,14.730000,14.920000,14.920000,169200
2021-04-06,14.870000,17.990000,14.729000,17.860001,17.860001,447200
2021-04-07,17.510000,17.790001,15.550000,15.610000,15.610000,173300
2021-04-08,15.550000,16.049999,14.470000,14.510000,14.510000,202400
2021-04-09,14.280000,15.114000,13.720000,13.780000,13.780000,207200
2021-04-12,13.990000,14.275000,12.630000,13.050000,13.050000,103200
2021-04-13,12.890000,13.320000,12.790000,12.970000,12.970000,71300
2021-04-14,12.960000,13.730000,12.920000,13.730000,13.730000,57000
2021-04-15,13.600000,14.660000,13.270000,14.600000,14.600000,121800
2021-04-16,14.600000,15.150000,14.150000,15.150000,15.150000,37400
2021-04-19,15.050000,15.650000,14.984000,15.510000,15.510000,74100
2021-04-20,15.340000,16.139999,15.160000,15.760000,15.760000,46700
2021-04-21,15.850000,16.340000,15.700000,16.000000,16.000000,94500
2021-04-22,16.040001,16.389999,15.481000,16.070000,16.070000,63900
2021-04-23,16.129999,16.740000,15.000000,16.600000,16.600000,74500
2021-04-26,16.709999,16.840000,16.049999,16.750000,16.750000,126700
2021-04-27,16.700001,17.049999,16.270000,16.959999,16.959999,111300
2021-04-28,17.059999,17.059999,15.800000,16.320000,16.320000,119400
2021-04-29,16.100000,16.330000,15.900000,16.020000,16.020000,75100
2021-04-30,15.880000,16.344999,15.290000,15.550000,15.550000,10900
2021-05-03,15.910000,16.528999,15.370000,15.530000,15.530000,9700
2021-05-04,15.230000,15.720000,15.230000,15.400000,15.400000,18000
2021-05-05,15.250000,16.299999,15.250000,15.890000,15.890000,13500
2021-05-06,15.800000,15.893000,14.290000,14.290000,14.290000,18700
2021-05-07,14.760000,16.000000,13.620000,14.170000,14.170000,16100
2021-05-10,13.850000,14.460000,13.400000,13.400000,13.400000,4000
2021-05-11,13.050000,14.093000,13.020000,13.700000,13.700000,15800
2021-05-12,13.800000,14.490000,13.010000,13.010000,13.010000,8500
2021-05-13,13.550000,14.000000,12.510000,12.610000,12.610000,14100
2021-05-14,12.920000,13.353000,12.630000,13.030000,13.030000,5800
